TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2014-01-01,24,29.8,26.1,90,0.5,0,5,270,2,W
2014-01-02,26,32.6,28.5,78,0,8,4,340,2,W
2014-01-03,26,33,29,81,8888,5,4,350,1,N
2014-01-04,26,33,28.9,76,0,5.3,6,270,2,W
2014-01-05,25,32.6,27.9,74,25,2.5,8,240,4,W
2014-01-06,25,31.4,27,81,4.7,5.5,7,260,2,W
2014-01-07,25,32.2,27.7,81,13.7,7.8,3,290,0,W
2014-01-08,24,27,24.9,96,12.1,0,2,250,0,W
2014-01-09,24,34.4,28.4,72,0,6.5,6,280,3,W
2014-01-10,25,34,28.4,72,11.5,5,7,280,2,NW
2014-01-11,24,32.8,28,82,31.5,6.3,5,350,2,N
2014-01-12,23,28.8,25.2,94,78.7,0,5,330,2,N
2014-01-13,24,28.6,25.8,91,17,0,4,270,2,W
2014-01-14,24,31.8,27.6,81,27.6,7.2,5,280,3,NW
2014-01-15,23,28.4,25,88,5.5,0,7,310,2,W
2014-01-16,24,28.6,26.8,80,117.8,0,5,310,2,NW
2014-01-17,23,28,25.3,92,147.9,0,6,360,3,NW
2014-01-18,23,27.2,26,86,94.6,0,5,300,2,NW
2014-01-19,23,28.2,26.9,82,12.8,0,7,320,3,NW
2014-01-20,23,27.8,26.1,85,82.1,0,4,270,3,W
2014-01-21,23,25.6,24.1,96,25,0,4,260,2,W
2014-01-22,25,28.8,25.9,85,84.7,0,5,350,2,N
2014-01-23,24,27.2,25.4,90,13,0,7,250,3,W
2014-01-24,23,28.8,26.1,84,25.5,8,4,320,2,NW
2014-01-25,23,30,26.2,86,11.4,8,5,340,2,NW
2014-01-26,24,30.2,26.7,85,0.5,5.3,5,320,3,NW
2014-01-27,25,27.8,25.5,88,16.2,0,4,320,2,NW
2014-01-28,24,28.8,26.4,85,50,0,5,330,3,N
2014-01-29,24,29.4,25.8,86,0,0.4,5,320,3,W
2014-01-30,26,30.2,27.5,82,6.7,3.8,4,330,2,W
2014-01-31,25,28.4,27,79,9.6,0.7,6,330,2,W
2014-02-01,24,30,26.9,84,12.5,4,5,330,3,NW
2014-02-02,23,28,26.3,83,41.4,0.6,4,320,2,NW
2014-02-03,24,28,25.4,89,95.7,0,3,330,1,NW
2014-02-04,24,29,26.2,86,60.4,0.2,4,290,1,NW
2014-02-05,24,28.2,25.6,94,108.2,0,3,260,0,NW
2014-02-06,25,30,26.7,88,2.5,1,4,350,2,N
2014-02-07,25,29.4,27,83,0,-,3,310,1,NW
2014-02-08,24,29,26.5,88,17.1,0,5,300,2,NW
2014-02-09,24,31,26.9,88,39.7,1.2,5,270,2,W
2014-02-10,24,31,27.2,84,10.1,1.5,3,280,1,W
2014-02-11,25,32,27.6,84,0,2,2,350,0,N
2014-02-12,26,31.6,28.4,79,0,-,4,350,1,N
2014-02-13,23,31.3,28.8,78,19.8,7.4,3,300,1,N
2014-02-14,24,31.6,26.9,82,6.8,4,6,280,2,NW
2014-02-15,24,27.6,25.2,85,13.1,0,3,310,0,W
2014-02-16,25,30.8,27.2,83,0,1.2,3,280,1,W
