tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2014-01-01,DKI1 (Bunderan HI),,77,3,39,54,13,77,PM10,SEDANG
2014-01-02,DKI4 (Lubang Buaya),,37,7,29,74,7,74,O3,SEDANG
2014-01-03,DKI4 (Lubang Buaya),,55,8,34,97,8,97,O3,SEDANG
2014-01-04,DKI3 (Jagakarsa),,23,6,36,57,,57,O3,SEDANG
2014-01-05,DKI1 (Bunderan HI),,39,4,18,48,10,48,O3,BAIK
2014-01-06,DKI1 (Bunderan HI),,27,2,18,45,6,45,O3,BAIK
2014-01-07,DKI1 (Bunderan HI),,40,5,27,52,13,52,O3,SEDANG
2014-01-08,DKI4 (Lubang Buaya),,51,6,20,65,6,65,O3,SEDANG
2014-01-09,DKI4 (Lubang Buaya),,39,6,54,43,6,54,CO,SEDANG
2014-01-10,DKI2 (Kelapa Gading),,29,1,15,95,15,95,O3,SEDANG
2014-01-11,DKI4 (Lubang Buaya),,56,6,23,96,6,96,O3,SEDANG
2014-01-12,DKI1 (Bunderan HI),,44,1,25,71,13,71,O3,SEDANG
2014-01-13,DKI4 (Lubang Buaya),,20,6,18,70,8,70,O3,SEDANG
2014-01-14,DKI4 (Lubang Buaya),,34,9,19,72,6,72,O3,SEDANG
2014-01-15,DKI1 (Bunderan HI),,46,3,29,54,10,54,O3,SEDANG
2014-01-16,DKI1 (Bunderan HI),,50,4,39,46,14,50,PM10,BAIK
2014-01-17,DKI4 (Lubang Buaya),,30,5,20,61,9,61,O3,SEDANG
2014-01-18,DKI1 (Bunderan HI),,39,1,25,55,15,55,O3,SEDANG
2014-01-19,DKI4 (Lubang Buaya),,27,5,24,60,,60,O3,SEDANG
2014-01-20,DKI1 (Bunderan HI),,54,2,23,53,13,54,PM10,SEDANG
2014-01-21,DKI4 (Lubang Buaya),,19,5,12,54,6,54,O3,SEDANG
2014-01-22,DKI1 (Bunderan HI),,59,7,29,51,15,59,PM10,SEDANG
2014-01-23,DKI1 (Bunderan HI),,48,2,26,53,15,53,O3,SEDANG
2014-01-24,DKI1 (Bunderan HI),,59,4,41,50,17,59,PM10,SEDANG
2014-01-25,DKI4 (Lubang Buaya),,26,6,14,56,7,56,O3,SEDANG
2014-01-26,DKI5 (Kebon Jeruk),,67,3,43,36,10,67,PM10,SEDANG
2014-01-27,DKI1 (Bunderan HI),,65,2,29,51,13,65,PM10,SEDANG
2014-01-28,DKI4 (Lubang Buaya),,19,5,19,53,9,53,O3,SEDANG
2014-01-29,DKI4 (Lubang Buaya),,19,5,20,51,9,51,O3,SEDANG
2014-01-30,DKI5 (Kebon Jeruk),,54,2,25,35,9,54,PM10,SEDANG
2014-01-31,DKI5 (Kebon Jeruk),,56,1,23,43,9,56,PM10,SEDANG
2014-02-01,DKI5 (Kebon Jeruk),,61,1,22,47,9,61,PM10,SEDANG
2014-02-02,DKI2 (Kelapa Gading),,32,1,7,50,9,50,O3,BAIK
2014-02-03,DKI3 (Jagakarsa),,28,6,31,48,,48,O3,BAIK
2014-02-04,DKI4 (Lubang Buaya),,,5,26,83,11,83,O3,SEDANG
2014-02-05,DKI4 (Lubang Buaya),,53,6,44,85,11,85,O3,SEDANG
2014-02-06,DKI4 (Lubang Buaya),,51,5,40,83,9,83,O3,SEDANG
2014-02-07,DKI4 (Lubang Buaya),,46,6,37,66,8,66,O3,SEDANG
2014-02-08,DKI5 (Kebon Jeruk),,37,4,11,60,6,60,O3,SEDANG
2014-02-09,DKI3 (Jagakarsa),,24,6,71,41,,71,CO,SEDANG
2014-02-10,DKI4 (Lubang Buaya),,39,6,24,80,17,80,O3,SEDANG
2014-02-11,DKI4 (Lubang Buaya),,55,6,27,75,16,75,O3,SEDANG
2014-02-12,DKI4 (Lubang Buaya),,63,6,30,77,12,77,O3,SEDANG
2014-02-13,DKI3 (Jagakarsa),,38,8,40,79,12,79,O3,SEDANG
2014-02-14,DKI2 (Kelapa Gading),,51,3,13,63,17,63,O3,SEDANG
2014-02-15,DKI5 (Kebon Jeruk),,78,3,37,40,12,78,PM10,SEDANG
2014-02-16,DKI5 (Kebon Jeruk),,82,7,43,45,10,82,PM10,SEDANG
2014-02-17,DKI5 (Kebon Jeruk),,113,4,61,66,20,113,PM10,TIDAK SEHAT
2014-02-18,DKI5 (Kebon Jeruk),,76,4,35,61,12,76,PM10,SEDANG
2014-02-19,DKI1 (Bunderan HI),,75,7,37,48,16,75,PM10,SEDANG
2014-02-20,DKI5 (Kebon Jeruk),,91,4,36,75,11,91,PM10,SEDANG
2014-02-21,DKI5 (Kebon Jeruk),,52,3,13,73,7,73,O3,SEDANG
2014-02-22,DKI4 (Lubang Buaya),,38,7,18,52,6,52,O3,SEDANG
2014-02-23,DKI4 (Lubang Buaya),,27,6,42,54,10,54,O3,SEDANG
2014-02-24,DKI4 (Lubang Buaya),,51,7,17,,10,51,PM10,SEDANG
2014-02-25,DKI1 (Bunderan HI),,54,5,43,53,25,54,PM10,SEDANG
2014-02-26,DKI2 (Kelapa Gading),,52,8,23,58,18,58,O3,SEDANG
2014-02-27,DKI5 (Kebon Jeruk),,65,2,47,83,15,83,O3,SEDANG
2014-02-28,DKI5 (Kebon Jeruk),,105,4,119,86,24,119,CO,TIDAK SEHAT
2014-03-01,DKI3 (Jagakarsa),,40,9,31,91,7,91,O3,SEDANG
2014-03-02,DKI4 (Lubang Buaya),,52,7,11,92,10,92,O3,SEDANG
2014-03-03,DKI3 (Jagakarsa),,25,9,25,144,6,144,O3,TIDAK SEHAT
2014-03-04,DKI3 (Jagakarsa),,26,10,26,156,9,156,O3,TIDAK SEHAT
2014-03-05,DKI4 (Lubang Buaya),,63,8,9,98,15,98,O3,SEDANG
2014-03-06,DKI5 (Kebon Jeruk),,105,6,54,190,19,190,O3,TIDAK SEHAT
2014-03-07,DKI2 (Kelapa Gading),,77,14,27,101,24,101,O3,TIDAK SEHAT
2014-03-08,DKI3 (Jagakarsa),,33,9,25,85,9,85,O3,SEDANG
2014-03-09,DKI5 (Kebon Jeruk),,89,4,39,65,8,89,PM10,SEDANG
2014-03-10,DKI5 (Kebon Jeruk),,82,3,24,76,10,82,PM10,SEDANG
2014-03-11,DKI4 (Lubang Buaya),,95,7,14,59,17,95,PM10,SEDANG
2014-03-12,DKI5 (Kebon Jeruk),,69,2,59,66,9,69,PM10,SEDANG
2014-03-13,DKI4 (Lubang Buaya),,89,8,11,96,24,96,O3,SEDANG
2014-03-14,DKI3 (Jagakarsa),,26,8,34,99,11,99,O3,SEDANG
2014-03-15,DKI3 (Jagakarsa),,37,8,51,138,12,138,O3,TIDAK SEHAT
2014-03-16,DKI4 (Lubang Buaya),,97,8,16,76,13,97,PM10,SEDANG
2014-03-17,DKI4 (Lubang Buaya),,77,7,20,146,17,146,O3,TIDAK SEHAT
2014-03-18,DKI4 (Lubang Buaya),,68,8,14,126,19,126,O3,TIDAK SEHAT
2014-03-19,DKI5 (Kebon Jeruk),,76,6,30,98,17,98,O3,SEDANG
2014-03-20,DKI5 (Kebon Jeruk),,86,5,37,195,17,195,O3,TIDAK SEHAT
2014-03-21,DKI5 (Kebon Jeruk),,64,6,18,88,7,88,O3,SEDANG
2014-03-22,DKI5 (Kebon Jeruk),,64,4,20,54,9,64,PM10,SEDANG
2014-03-23,DKI4 (Lubang Buaya),,49,7,13,71,8,71,O3,SEDANG
2014-03-24,DKI5 (Kebon Jeruk),,83,4,50,75,12,83,PM10,SEDANG
2014-03-25,DKI5 (Kebon Jeruk),,62,3,21,63,9,63,O3,SEDANG
2014-03-26,DKI5 (Kebon Jeruk),,54,3,17,83,10,83,O3,SEDANG
2014-03-27,DKI3 (Jagakarsa),,55,11,54,114,12,114,O3,TIDAK SEHAT
2014-03-28,DKI2 (Kelapa Gading),,62,8,32,163,23,163,O3,TIDAK SEHAT
2014-03-29,DKI5 (Kebon Jeruk),,66,5,23,118,13,118,O3,TIDAK SEHAT
2014-03-30,DKI5 (Kebon Jeruk),,66,3,21,91,9,91,O3,SEDANG
2014-03-31,DKI5 (Kebon Jeruk),,71,5,29,89,8,89,O3,SEDANG
2014-04-01,DKI5 (Kebon Jeruk),,81,5,30,111,13,111,O3,TIDAK SEHAT
2014-04-02,DKI5 (Kebon Jeruk),,74,5,,109,14,109,O3,TIDAK SEHAT
2014-04-03,DKI5 (Kebon Jeruk),,69,4,,133,12,133,O3,TIDAK SEHAT
2014-04-04,DKI5 (Kebon Jeruk),,90,4,,146,12,146,O3,TIDAK SEHAT
2014-04-05,DKI5 (Kebon Jeruk),,83,6,52,162,12,162,O3,TIDAK SEHAT
2014-04-06,DKI5 (Kebon Jeruk),,53,4,14,94,9,94,O3,SEDANG
2014-04-07,DKI5 (Kebon Jeruk),,46,3,12,119,9,119,O3,TIDAK SEHAT
2014-04-08,DKI5 (Kebon Jeruk),,58,5,24,93,9,93,O3,SEDANG
2014-04-09,DKI5 (Kebon Jeruk),,43,4,9,78,4,78,O3,SEDANG
2014-04-10,DKI5 (Kebon Jeruk),,51,3,10,57,3,57,O3,SEDANG
2014-04-11,DKI5 (Kebon Jeruk),,62,5,17,78,7,78,O3,SEDANG
2014-04-12,DKI5 (Kebon Jeruk),,68,5,26,94,18,94,O3,SEDANG
2014-04-13,DKI5 (Kebon Jeruk),,59,3,13,88,9,88,O3,SEDANG
2014-04-14,DKI5 (Kebon Jeruk),,51,4,17,87,6,87,O3,SEDANG
2014-04-15,DKI5 (Kebon Jeruk),,49,4,20,99,7,99,O3,SEDANG
2014-04-16,DKI5 (Kebon Jeruk),,48,3,10,98,4,98,O3,SEDANG
2014-04-17,DKI2 (Kelapa Gading),,68,9,35,164,26,164,O3,TIDAK SEHAT
2014-04-18,DKI5 (Kebon Jeruk),,66,6,46,158,15,158,O3,TIDAK SEHAT
2014-04-19,DKI5 (Kebon Jeruk),,55,4,38,106,14,106,O3,TIDAK SEHAT
2014-04-20,DKI5 (Kebon Jeruk),,51,3,26,76,13,76,O3,SEDANG
2014-04-21,DKI5 (Kebon Jeruk),,57,4,18,94,11,94,O3,SEDANG
2014-04-22,DKI4 (Lubang Buaya),,42,8,15,78,9,78,O3,SEDANG
